,path
0,../dataset/train/6/n02667093_2481_0.jpg
1,../dataset/train/6/n04532106_1139_0.jpg
2,../dataset/train/6/n04605572_10130_0.jpg
3,../dataset/train/6/n02667093_680_0.jpg
4,../dataset/train/6/n04605572_7064_0.jpg
5,../dataset/train/6/n02667093_294_0.jpg
6,../dataset/train/6/n03474167_5008_0.jpg
7,../dataset/train/6/n03010795_6910_0.jpg
8,../dataset/train/6/n03617480_752_0.jpg
9,../dataset/train/6/n02667093_5921_0.jpg
10,../dataset/train/6/n03010795_4487_0.jpg
11,../dataset/train/6/n02667093_5639_0.jpg
12,../dataset/train/6/n04097866_5614_0.jpg
13,../dataset/train/6/n02667093_689_0.jpg
14,../dataset/train/6/n03617480_11755_0.jpg
15,../dataset/train/6/n03010795_7200_1.jpg
16,../dataset/train/6/n03548930_1475_0.jpg
17,../dataset/train/6/n03010795_1599_0.jpg
18,../dataset/train/6/n02807616_8829_0.jpg
19,../dataset/train/6/n04097866_6643_0.jpg
20,../dataset/train/6/n04532106_11482_0.jpg
21,../dataset/train/6/n03617480_2710_0.jpg
22,../dataset/train/6/n03010795_5406_0.jpg
23,../dataset/train/6/n02807616_3344_1.jpg
24,../dataset/train/6/n02807616_4974_0.jpg
25,../dataset/train/6/n04605572_11129_0.jpg
26,../dataset/train/6/n03010795_12116_0.jpg
27,../dataset/train/6/n04097866_1759_0.jpg
28,../dataset/train/6/n04532106_8793_0.jpg
29,../dataset/train/6/n03617480_5361_0.jpg
30,../dataset/train/6/n03263338_2487_0.jpg
31,../dataset/train/6/n04532106_2080_0.jpg
32,../dataset/train/6/n03010795_3702_0.jpg
33,../dataset/train/6/n02667093_6533_0.jpg
34,../dataset/train/6/n03450734_20739_0.jpg
35,../dataset/train/6/n03617480_1371_0.jpg
36,../dataset/train/6/n04532106_10943_0.jpg
37,../dataset/train/6/n02667093_1565_0.jpg
38,../dataset/train/6/n02667093_3676_0.jpg
39,../dataset/train/6/n03617480_8976_0.jpg
40,../dataset/train/6/n03617480_1604_0.jpg
41,../dataset/train/6/n02667093_752_0.jpg
42,../dataset/train/6/n04605572_10285_0.jpg
43,../dataset/train/6/n02807616_4135_0.jpg
44,../dataset/train/6/n04605572_5780_0.jpg
45,../dataset/train/6/n04605572_10931_0.jpg
46,../dataset/train/6/n03010795_7074_0.jpg
47,../dataset/train/6/n03450734_16433_0.jpg
48,../dataset/train/6/n03880129_2367_0.jpg
49,../dataset/train/6/n03617480_6439_0.jpg
50,../dataset/train/6/n03010795_12389_0.jpg
51,../dataset/train/6/n02807616_4810_0.jpg
52,../dataset/train/6/n04364994_5463_0.jpg
53,../dataset/train/6/n04097866_13929_0.jpg
54,../dataset/train/6/n03450734_10472_0.jpg
55,../dataset/train/6/n04605572_1309_0.jpg
56,../dataset/train/6/n04532106_3034_0.jpg
57,../dataset/train/6/n03263338_447_0.jpg
58,../dataset/train/6/n04097866_3817_0.jpg
59,../dataset/train/6/n02807616_10449_0.jpg
60,../dataset/train/6/n03617480_3583_0.jpg
61,../dataset/train/6/n03010795_12496_0.jpg
62,../dataset/train/6/n03617480_7595_0.jpg
63,../dataset/train/6/n02667093_5231_0.jpg
64,../dataset/train/6/n03450734_19075_0.jpg
65,../dataset/train/6/n03010795_11397_0.jpg
66,../dataset/train/6/n02667093_1888_0.jpg
67,../dataset/train/6/n02807616_17081_0.jpg
68,../dataset/train/6/n03263338_3495_0.jpg
69,../dataset/train/6/n04532106_10805_0.jpg
70,../dataset/train/6/n02667093_4336_0.jpg
71,../dataset/train/6/n03617480_5792_0.jpg
72,../dataset/train/6/n03880129_3513_0.jpg
73,../dataset/train/6/n04364994_2087_0.jpg
74,../dataset/train/6/n04532106_9988_0.jpg
75,../dataset/train/6/n03450734_3209_0.jpg
76,../dataset/train/6/n02694966_2576_0.jpg
77,../dataset/train/6/n03617480_5884_1.jpg
78,../dataset/train/6/n04097866_6068_0.jpg
79,../dataset/train/6/n02979516_1580_0.jpg
80,../dataset/train/6/n03880129_3264_0.jpg
81,../dataset/train/6/n03010795_5214_0.jpg
82,../dataset/train/6/n04532106_7686_0.jpg
83,../dataset/train/6/n04364994_29_0.jpg
84,../dataset/train/6/n04532106_8331_0.jpg
85,../dataset/train/6/n04532106_11197_0.jpg
86,../dataset/train/6/n02807616_31667_0.jpg
87,../dataset/train/6/n02807616_17711_0.jpg
88,../dataset/train/6/n03450734_24078_0.jpg
89,../dataset/train/6/n03835941_282_1.jpg
90,../dataset/train/6/n02667093_1056_0.jpg
91,../dataset/train/6/n03617480_7817_0.jpg
92,../dataset/train/6/n04097866_2548_0.jpg
93,../dataset/train/6/n02667093_4924_0.jpg
94,../dataset/train/6/n03617480_8733_0.jpg
95,../dataset/train/6/n03617480_20573_0.jpg
96,../dataset/train/6/n04532106_8306_0.jpg
97,../dataset/train/6/n03981340_3001_0.jpg
98,../dataset/train/6/n04097866_534_0.jpg
99,../dataset/train/6/n03617480_9891_0.jpg
100,../dataset/train/6/n03450734_14034_0.jpg
101,../dataset/train/6/n03617480_13394_0.jpg
102,../dataset/train/6/n03617480_7646_0.jpg
103,../dataset/train/6/n04097866_5629_0.jpg
104,../dataset/train/6/n02667093_7964_0.jpg
105,../dataset/train/6/n04532106_4070_0.jpg
106,../dataset/train/6/n04097866_3465_0.jpg
107,../dataset/train/6/n04605572_9506_0.jpg
108,../dataset/train/6/n04097866_15614_0.jpg
109,../dataset/train/6/n03617480_11880_0.jpg
110,../dataset/train/6/n02807616_19859_0.jpg
111,../dataset/train/6/n03450734_5189_0.jpg
112,../dataset/train/6/n02667093_109_0.jpg
113,../dataset/train/6/n02807616_13262_0.jpg
114,../dataset/train/6/n03548930_2366_0.jpg
115,../dataset/train/6/n04097866_6062_0.jpg
116,../dataset/train/6/n04097866_10224_0.jpg
117,../dataset/train/6/n03617480_4540_0.jpg
118,../dataset/train/6/n02667093_2165_0.jpg
119,../dataset/train/6/n02807616_25213_0.jpg
120,../dataset/train/6/n03617480_6591_0.jpg
121,../dataset/train/6/n04097866_6508_0.jpg
122,../dataset/train/6/n03010795_4044_0.jpg
123,../dataset/train/6/n04364994_4101_0.jpg
124,../dataset/train/6/n03450734_8218_0.jpg
125,../dataset/train/6/n03450734_8054_0.jpg
126,../dataset/train/6/n03450734_7936_0.jpg
127,../dataset/train/6/n03981340_442_1.jpg
128,../dataset/train/6/n03010795_6354_0.jpg
129,../dataset/train/6/n04605572_10226_0.jpg
130,../dataset/train/6/n04097866_15764_0.jpg
131,../dataset/train/6/n03010795_5071_0.jpg
132,../dataset/train/6/n02807616_17362_0.jpg
133,../dataset/train/6/n04097866_6226_0.jpg
134,../dataset/train/6/n04532106_5129_0.jpg
135,../dataset/train/6/n04097866_11865_0.jpg
136,../dataset/train/6/n02807616_9794_0.jpg
137,../dataset/train/6/n03617480_11762_0.jpg
138,../dataset/train/6/n04264233_2404_0.jpg
139,../dataset/train/6/n02807616_9276_0.jpg
140,../dataset/train/6/n04097866_4771_0.jpg
141,../dataset/train/6/n02667093_5296_0.jpg
142,../dataset/train/6/n04097866_3191_0.jpg
143,../dataset/train/6/n02667093_758_0.jpg
144,../dataset/train/6/n03450734_35935_0.jpg
145,../dataset/train/6/n04532106_1400_2.jpg
146,../dataset/train/6/n03450734_31797_0.jpg
147,../dataset/train/6/n03450734_13167_0.jpg
148,../dataset/train/6/n02979516_6820_0.jpg
149,../dataset/train/6/n03450734_9481_0.jpg
150,../dataset/train/6/n04097866_8240_0.jpg
151,../dataset/train/6/n03010795_7268_0.jpg
152,../dataset/train/6/n02807616_13920_0.jpg
153,../dataset/train/6/n03880129_4001_1.jpg
154,../dataset/train/6/n03010795_903_0.jpg
155,../dataset/train/6/n03263338_3033_0.jpg
156,../dataset/train/6/n04097866_6900_0.jpg
157,../dataset/train/6/n03010795_6604_0.jpg
158,../dataset/train/6/n04605572_5925_0.jpg
159,../dataset/train/6/n02807616_7827_0.jpg
160,../dataset/train/6/n03450734_24407_0.jpg
161,../dataset/train/6/n03450734_18155_0.jpg
162,../dataset/train/6/n03010795_853_0.jpg
163,../dataset/train/6/n04605572_11417_0.jpg
164,../dataset/train/6/n02807616_7553_0.jpg
165,../dataset/train/6/n04097866_7763_0.jpg
166,../dataset/train/6/n03450734_11330_0.jpg
167,../dataset/train/6/n02667093_1275_0.jpg
168,../dataset/train/6/n03010795_2990_0.jpg
169,../dataset/train/6/n03835941_607_0.jpg
170,../dataset/train/6/n03010795_6759_0.jpg
171,../dataset/train/6/n04097866_17385_0.jpg
172,../dataset/train/6/n04097866_9408_0.jpg
173,../dataset/train/6/n03880129_3629_0.jpg
174,../dataset/train/6/n02807616_18311_0.jpg
175,../dataset/train/6/n04532106_9917_0.jpg
176,../dataset/train/6/n03617480_9564_0.jpg
177,../dataset/train/6/n04605572_10003_0.jpg
178,../dataset/train/6/n02667093_2140_0.jpg
179,../dataset/train/6/n02979516_5261_0.jpg
180,../dataset/train/6/n04532106_2972_0.jpg
181,../dataset/train/6/n03450734_12719_0.jpg
182,../dataset/train/6/n03981340_399_0.jpg
183,../dataset/train/6/n04097866_8456_0.jpg
184,../dataset/train/6/n03617480_20094_0.jpg
185,../dataset/train/6/n03981340_4242_0.jpg
186,../dataset/train/6/n03617480_15801_0.jpg
187,../dataset/train/6/n03450734_5265_0.jpg
188,../dataset/train/6/n03010795_8252_0.jpg
189,../dataset/train/6/n03981340_3153_0.jpg
190,../dataset/train/6/n02807616_3690_1.jpg
191,../dataset/train/6/n04097866_11305_0.jpg
192,../dataset/train/6/n04532106_8373_1.jpg
193,../dataset/train/6/n03617480_12076_0.jpg
194,../dataset/train/6/n03617480_1152_0.jpg
195,../dataset/train/6/n03450734_140_0.jpg
196,../dataset/train/6/n03010795_2393_0.jpg
197,../dataset/train/6/n03617480_6070_0.jpg
198,../dataset/train/6/n02694966_251_0.jpg
199,../dataset/train/6/n03450734_19038_0.jpg
200,../dataset/train/6/n04264233_488_0.jpg
201,../dataset/train/6/n03010795_6413_0.jpg
202,../dataset/train/6/n03617480_14687_0.jpg
203,../dataset/train/6/n03617480_10785_0.jpg
204,../dataset/train/6/n02807616_16498_1.jpg
205,../dataset/train/6/n04364994_2135_0.jpg
206,../dataset/train/6/n02667093_2013_0.jpg
207,../dataset/train/6/n03010795_2784_1.jpg
208,../dataset/train/6/n04605572_11230_0.jpg
209,../dataset/train/6/n04097866_12659_1.jpg
210,../dataset/train/6/n04532106_10441_0.jpg
211,../dataset/train/6/n04605572_8937_0.jpg
212,../dataset/train/6/n03880129_971_0.jpg
213,../dataset/train/6/n04532106_18902_0.jpg
214,../dataset/train/6/n02807616_14926_0.jpg
215,../dataset/train/6/n03548930_11732_0.jpg
216,../dataset/train/6/n04605572_11162_0.jpg
217,../dataset/train/6/n03781467_1237_0.jpg
218,../dataset/train/6/n03548930_4765_0.jpg
219,../dataset/train/6/n03450734_24945_0.jpg
220,../dataset/train/6/n04364994_4984_0.jpg
221,../dataset/train/6/n02807616_683_0.jpg
222,../dataset/train/6/n04097866_10590_0.jpg
223,../dataset/train/6/n03010795_2723_0.jpg
224,../dataset/train/6/n02667093_6353_0.jpg
225,../dataset/train/6/n02807616_338_0.jpg
226,../dataset/train/6/n04097866_3898_0.jpg
227,../dataset/train/6/n04364994_5925_0.jpg
228,../dataset/train/6/n02807616_14202_0.jpg
229,../dataset/train/6/n02807616_3429_0.jpg
230,../dataset/train/6/n03981340_4317_0.jpg
231,../dataset/train/6/n03010795_4295_0.jpg
232,../dataset/train/6/n04605572_11451_0.jpg
233,../dataset/train/6/n04532106_1845_0.jpg
234,../dataset/train/6/n02667093_9032_0.jpg
235,../dataset/train/6/n03010795_3655_0.jpg
236,../dataset/train/6/n02667093_2939_0.jpg
237,../dataset/train/6/n04097866_9340_0.jpg
238,../dataset/train/6/n04097866_2728_1.jpg
239,../dataset/train/6/n04532106_648_0.jpg
